,vtuber,music,original,collab,collabVTuber,id,channelId,publishedAt,memo
144,キズナアイ,hello alone,キズナアイ,False,,NJGPF7t368E,UC4YaOt1yT-ZeyB0OmxHgolA,2018-12-07 18:58:34,
145,キズナアイ,melty world,キズナアイ,False,,X-6foRGSjPg,UC4YaOt1yT-ZeyB0OmxHgolA,2018-11-30 18:58:15,
146,キズナアイ,Hello Morning,キズナアイ,False,,LyJ5vCAYZXQ,UC4YaOt1yT-ZeyB0OmxHgolA,2018-11-23 18:58:19,
147,キズナアイ,miracle step,キズナアイ,False,,eolXxm37-8Y,UC4YaOt1yT-ZeyB0OmxHgolA,2018-11-16 18:58:31,
148,キズナアイ,over the reality,キズナアイ,False,,OIdlW0u3ZXc,UC4YaOt1yT-ZeyB0OmxHgolA,2018-11-09 18:58:33,
149,キズナアイ,new world,キズナアイ,False,,Q_dnENXIcPg,UC4YaOt1yT-ZeyB0OmxHgolA,2018-11-02 18:58:20,
150,キズナアイ,future base,キズナアイ,False,,yeD7eAuza74,UC4YaOt1yT-ZeyB0OmxHgolA,2018-10-26 18:58:30,
151,キズナアイ,Hello Morning,キズナアイ,False,,4byaJ9w47uU,UC4YaOt1yT-ZeyB0OmxHgolA,2018-07-15 19:00:19,
152,輝夜月,Dance With Cinderella !,輝夜月,False,,Fw--zRltlyE,UCQYADFw7xEJ9oZSM5ZbqyBw,2019-06-26 00:00:02,
153,輝夜月,NEW ERA,輝夜月,False,,yiVGudcnsAg,UCQYADFw7xEJ9oZSM5ZbqyBw,2019-05-10 18:00:25,
154,ミライアカリ,時空の蜃気楼,ミライアカリ,False,,BkIvqlw_0lw,UCMYtONm441rBogWK_xPH9HA,2019-06-07 23:00:02,
155,ミライアカリ,Яebel,ミライアカリ,False,,jLsySEaqhT8,UCMYtONm441rBogWK_xPH9HA,2019-03-20 20:58:19,
156,ミライアカリ,ミライトミライ,ナユタン星人,False,,ZbYn9J_cuW8,UCMYtONm441rBogWK_xPH9HA,2019-01-01 19:00:02,ナユタン星人
157,ミライアカリ,アクセル,ミライアカリ,False,,7StwGkAKDEA,UCMYtONm441rBogWK_xPH9HA,2018-12-31 23:27:17,
158,ミライアカリ,地球最後の告白を,kemu,False,,m4EeCwS62kU,UCMYtONm441rBogWK_xPH9HA,2018-12-24 19:00:06,
159,ミライアカリ,虎視眈々,梅とら,False,,gW-m3zwioGI,UCMYtONm441rBogWK_xPH9HA,2018-10-26 19:00:08,
160,ミライアカリ,アカリがやってきたぞ,ミライアカリ,False,,HSoQm_SBcMU,UCMYtONm441rBogWK_xPH9HA,2018-10-17 19:00:02,GYARI
161,ミライアカリ,ブリキノダンス,日向電工,False,,tvJRBvBiZhE,UCMYtONm441rBogWK_xPH9HA,2018-10-09 19:00:09,
162,ミライアカリ,ロキ,みきとP,False,,f_3t9AhqnUw,UCMYtONm441rBogWK_xPH9HA,2018-09-19 19:00:16,
163,ミライアカリ,恋愛サーキュレーション,千石撫子,False,,FbnukT09n4c,UCMYtONm441rBogWK_xPH9HA,2018-07-19 19:00:02,
164,ミライアカリ,ECHO,Crusher-P,False,,xxUikIXYGdw,UCMYtONm441rBogWK_xPH9HA,2018-05-15 19:00:09,
165,かしこまり,まちがいさがし,菅田将暉,False,,8mzM4n1KQQw,UCfiK42sBHraMBK6eNWtsy7A,2019-07-05 19:00:01,
166,かしこまり,パンダヒーロー,ハチ,False,,PSsEhC0oonY,UCfiK42sBHraMBK6eNWtsy7A,2019-06-28 19:00:04,
167,かしこまり,カサブタ,千綿ヒデノリ,False,,b15sbo-tO3E,UCfiK42sBHraMBK6eNWtsy7A,2019-06-21 19:00:12,
168,かしこまり,新宝島,サカナクション,False,,_NvIA1PQY50,UCfiK42sBHraMBK6eNWtsy7A,2019-06-14 19:01:01,
169,かしこまり,秒針を噛む,ずっと真夜中でいいのに。,False,,d-gvteAktmk,UCfiK42sBHraMBK6eNWtsy7A,2019-06-07 19:00:06,
170,かしこまり,ヒッチコック,ヨルシカ,False,,WLHRY7kW4eg,UCfiK42sBHraMBK6eNWtsy7A,2019-05-31 19:00:05,
171,かしこまり,エイリアンエイリアン,ナユタン星人,False,,NzQtzpQaWWY,UCfiK42sBHraMBK6eNWtsy7A,2019-05-17 19:00:04,
172,かしこまり,蝶々結び,Aimer,False,,eR5EgAlzXkE,UCfiK42sBHraMBK6eNWtsy7A,2019-05-07 19:00:13,
173,かしこまり,エイプリル,mol-74,False,,roYkpOCShjk,UCfiK42sBHraMBK6eNWtsy7A,2019-04-26 19:00:12,
174,かしこまり,透明声彩,YuNi,False,,cv-Au9iz76s,UCfiK42sBHraMBK6eNWtsy7A,2019-04-23 19:00:07,
175,かしこまり,マリーゴールド,あいみょん,False,,BgE_cbKjiCo,UCfiK42sBHraMBK6eNWtsy7A,2019-04-19 20:33:14,
176,かしこまり,ドラマツルギー,Eve,False,,uOG-damuilg,UCfiK42sBHraMBK6eNWtsy7A,2019-04-12 19:00:29,
177,かしこまり,チカっとチカ千花っ♡,かぐや様は告らせたい,False,,S_mFPSQ8s2Q,UCfiK42sBHraMBK6eNWtsy7A,2019-03-30 19:00:04,
